payload,tag,time
<script>alert(1)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T17:12:14.021089
<script>alert(2)</script>,This payload is tagged as XSS (Cross-Site Scripting) and its risk level is rated as Low.,2025-03-31T17:12:14.931198
<script>alert(3)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T17:12:15.748812
<script>alert(4)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T17:12:16.568226
<script>alert(5)</script>,"This payload is a XSS (Cross-Site Scripting) attack. It allows an attacker to inject malicious scripts into web pages viewed by other users. 

Risk Level: Medium",2025-03-31T17:12:17.485899
<script>alert(6)</script>,This payload is an XSS (Cross-Site Scripting) attack. It carries a low risk level.,2025-03-31T17:12:18.403972
<script>alert(7)</script>,"This payload is XSS (Cross-Site Scripting) and the risk level is Low, as it only triggers an alert popup in the user's browser.",2025-03-31T17:12:19.559018
<script>alert(8)</script>,This payload is an XSS (Cross-Site Scripting) attack. The risk level is Low as it only triggers an alert pop-up showing the number 8.,2025-03-31T17:12:20.866417
<script>alert(9)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T17:12:21.889731
<script>alert(10)</script>,"XSS (Cross-Site Scripting)
Risk Level: Medium",2025-03-31T17:12:22.913795
<script>alert(11)</script>,This payload is an XSS (Cross-Site Scripting) attack. The risk level is Low.,2025-03-31T17:12:23.735161
<script>alert(12)</script>,"Tag: XSS
Risk level: Low",2025-03-31T17:12:24.861496
<script>alert(13)</script>,"XSS (Cross-Site Scripting)
Risk level: Medium",2025-03-31T17:12:25.716255
<script>alert(14)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T17:12:26.497776
<script>alert(15)</script>,This payload is a cross-site scripting (XSS) attack. It has a relatively low risk level.,2025-03-31T17:12:27.622703
<script>alert(16)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Medium.,2025-03-31T17:12:28.542816
<script>alert(17)</script>,This payload is a cross-site scripting (XSS) attack. The risk level is relatively low because it only displays an alert message and does not execute any further harmful actions.,2025-03-31T17:12:29.465201
<script>alert(18)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T17:12:30.284165
<script>alert(19)</script>,This is an XSS payload. The risk level is Low.,2025-03-31T17:12:35.712369
<script>alert(20)</script>,This payload is tagged as XSS (Cross-Site Scripting) and its risk level is Low.,2025-03-31T17:12:37.658830
<script>alert(21)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T17:12:38.296373
<script>alert(22)</script>,This payload is an XSS (Cross-Site Scripting) attack. The risk level is Medium.,2025-03-31T17:12:39.092334
<script>alert(23)</script>,"Type: XSS
Risk level: Low",2025-03-31T17:12:39.809784
<script>alert(24)</script>,"This payload is an XSS (Cross-Site Scripting) attack. It injects a script that will display an alert box with the message ""24"" when the vulnerable page is loaded by a user. 

Risk Level: Medium",2025-03-31T17:12:41.137930
<script>alert(25)</script>,"XSS (Cross-Site Scripting)
Risk level: Medium",2025-03-31T17:12:42.064006
<script>alert(26)</script>,This payload is considered XSS (Cross-Site Scripting) and has a risk level of Low. It simply attempts to execute a script that alerts the number 26 when rendered on a vulnerable web page.,2025-03-31T17:12:43.803588
<script>alert(27)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T17:12:44.621013
<script>alert(28)</script>,"XSS (Cross-Site Scripting)
Risk Level: Medium",2025-03-31T17:12:45.378249
<script>alert(29)</script>,"XSS (Cross-Site Scripting)
Risk level: Low",2025-03-31T17:12:46.257485
<script>alert(30)</script>,This payload is classified as XSS (Cross-Site Scripting) and its risk level is Medium.,2025-03-31T17:12:47.183337
<script>alert(31)</script>,This payload is tagged as XSS (Cross-Site Scripting) and has a risk level of Low.,2025-03-31T17:12:48.005317
<script>alert(32)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T17:12:48.824259
<script>alert(33)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T17:12:49.642825
<script>alert(34)</script>,"Tag: XSS
Risk level: Low",2025-03-31T17:12:50.259799
<script>alert(35)</script>,"Type: XSS
Risk Level: Low",2025-03-31T17:12:50.976301
