payload,tag,time
<script>alert(1)</script>,"Tag: XSS
Risk level: Low",2025-03-31T15:43:28.082062
<script>alert(2)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of High.,2025-03-31T15:43:28.892299
<script>alert(3)</script>,"This payload is an XSS (Cross-Site Scripting) attack. It injects a script that will trigger an alert box displaying the number 3 when the vulnerable page is loaded. 

Risk Level: Medium",2025-03-31T15:43:29.913452
<script>alert(4)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T15:43:30.834582
<script>alert(5)</script>,This payload is a Cross-Site Scripting (XSS) attack. The risk level is considered Low.,2025-03-31T15:43:31.650125
<script>alert(6)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T15:43:32.319614
<script>alert(7)</script>,"XSS (Cross-site Scripting)
Risk Level: Low",2025-03-31T15:43:33.186517
<script>alert(8)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T15:43:33.903718
<script>alert(9)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T15:43:34.721931
<script>alert(10)</script>,This payload is a Cross-Site Scripting (XSS) attack. The risk level is Low.,2025-03-31T15:43:35.643147
<script>alert(11)</script>,This payload is tagged as XSS (Cross-Site Scripting) and its risk level is Low.,2025-03-31T15:43:36.468810
<script>alert(12)</script>,"XSS (Cross-Site Scripting)
Risk Level: Medium",2025-03-31T15:43:37.079652
<script>alert(13)</script>,This payload is classified as XSS (Cross-Site Scripting) and carries a risk level of Low.,2025-03-31T15:43:38.103050
<script>alert(14)</script>,"Tag: XSS
Risk level: Low",2025-03-31T15:43:38.920080
<script>alert(15)</script>,"Tag: XSS
Risk level: Low",2025-03-31T15:43:39.535538
<script>alert(16)</script>,This payload is classified as XSS (Cross-Site Scripting) and its risk level is Low.,2025-03-31T15:43:40.355913
<script>alert(17)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T15:43:41.074580
<script>alert(18)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T15:43:41.895318
<script>alert(19)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T15:43:42.813298
<script>alert(20)</script>,This payload is tagged as XSS (Cross-Site Scripting) with Medium risk level.,2025-03-31T15:43:43.587180
<script>alert(21)</script>,"This payload is an XSS (Cross-Site Scripting) attack. It injects a script that will display an alert box with the message ""21"" when the vulnerable page is loaded by a user. 

Risk level: Medium",2025-03-31T15:43:44.549369
<script>alert(22)</script>,"XSS, Medium",2025-03-31T15:43:45.379374
<script>alert(23)</script>,This payload is an XSS (Cross-Site Scripting) injection. The risk level is Medium.,2025-03-31T15:43:46.193284
<script>alert(24)</script>,"Tag: XSS
Risk level: Low",2025-03-31T15:43:46.807445
<script>alert(25)</script>,"Tag: XSS
Risk level: Low",2025-03-31T15:43:47.520566
<script>alert(26)</script>,"XSS (Cross-site Scripting)
Risk level: Low",2025-03-31T15:43:48.179677
<script>alert(27)</script>,This is an XSS (Cross-Site Scripting) payload with a low risk level.,2025-03-31T15:43:48.938812
<script>alert(28)</script>,This payload is tagged as XSS (Cross-Site Scripting) and has a risk level of Low.,2025-03-31T15:43:49.670161
<script>alert(29)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T15:43:50.389390
<script>alert(30)</script>,This payload is tagged as XSS (Cross-Site Scripting) and its risk level is Low.,2025-03-31T15:43:51.207782
<script>alert(31)</script>,This payload is classified as XSS (Cross-Site Scripting) with a Medium risk level.,2025-03-31T15:43:51.925030
<script>alert(32)</script>,This payload is XSS (Cross-Site Scripting) and its risk level is Low.,2025-03-31T15:43:52.745741
<script>alert(33)</script>,This payload is tagged as XSS (Cross-Site Scripting) and has a risk level of Medium.,2025-03-31T15:43:53.512620
<script>alert(34)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T15:43:54.281077
<script>alert(35)</script>,This payload is tagged as XSS (Cross-Site Scripting) and its risk level is Low.,2025-03-31T15:43:55.100676
<script>alert(36)</script>,"This payload is a Cross-Site Scripting (XSS) attack. It injects a script tag to display an alert box with the message ""36"". The risk level is Low as it does not perform any malicious actions other than displaying an alert box.",2025-03-31T15:43:56.073852
<script>alert(37)</script>,This payload is tagged as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T15:43:56.946681
<script>alert(38)</script>,"Tag: XSS
Risk level: Low",2025-03-31T15:43:57.616779
<script>alert(39)</script>,"This payload is an XSS (Cross-Site Scripting) attack. It injects a script that will pop up an alert dialog displaying the number 39 when the vulnerable webpage is accessed.

Risk Level: Medium",2025-03-31T15:43:58.581519
<script>alert(40)</script>,"XSS (Cross-Site Scripting)
Risk level: Low",2025-03-31T15:43:59.295495
<script>alert(41)</script>,This payload is tagged as XSS (Cross-Site Scripting) and its risk level is Low.,2025-03-31T15:44:00.117337
<script>alert(42)</script>,This payload is an XSS (Cross-Site Scripting) vulnerability. The risk level is Medium as it can lead to unauthorized actions being performed on behalf of the user.,2025-03-31T15:44:01.043628
<script>alert(43)</script>,This payload is classified as XSS (Cross-Site Scripting) and is of a Low risk level.,2025-03-31T15:44:02.267459
<script>alert(44)</script>,This payload is a reflected XSS (Cross-Site Scripting) attack. It has a Medium risk level.,2025-03-31T15:44:03.087036
<script>alert(45)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T15:44:03.785064
<script>alert(46)</script>,This payload is a reflected Cross-Site Scripting (XSS) attack and it presents a Low risk level.,2025-03-31T15:44:04.563921
<script>alert(47)</script>,This payload is a Cross-Site Scripting (XSS) attack. The risk level is Low.,2025-03-31T15:44:05.452603
<script>alert(48)</script>,"XSS (Cross-Site Scripting)
Risk level: Low",2025-03-31T15:44:06.364713
<script>alert(49)</script>,This payload is classified as XSS (Cross-Site Scripting) with a risk level of Low.,2025-03-31T15:44:07.387754
<script>alert(50)</script>,"XSS (Cross-Site Scripting)
Risk Level: Low",2025-03-31T15:44:08.105449
' OR 1=1 --,"This payload is an example of a SQL injection (SQLi) attack. The risk level is considered High as it can manipulate the logic of the SQL query to return unintended results, potentially exposing sensitive data or causing data corruption.",2025-03-31T15:44:09.145550
' OR 2=2 --,This payload is for SQL injection (SQLi) and its risk level is High.,2025-03-31T15:44:09.846463
' OR 3=3 --,"Tag: SQLi
Risk level: Low",2025-03-31T15:44:10.562705
' OR 4=4 --,"Tag: SQLi
Risk level: Low",2025-03-31T15:44:11.278801
' OR 5=5 --,This payload is an SQL injection (SQLi) attack. The risk level is High as it can potentially retrieve sensitive information or modify the database if successful.,2025-03-31T15:44:12.203483
' OR 6=6 --,This payload is an SQL injection (SQLi) and its risk level is High. It tries to manipulate the query to return all records by injecting a condition that always evaluates to true.,2025-03-31T15:44:13.121378
' OR 7=7 --,"This payload is an SQL injection (SQLi) attempt. It tries to manipulate the SQL query to always return true by injecting ' OR 7=7 -- into the query, causing it to ignore following conditions in the query.

Risk level: High",2025-03-31T15:44:14.045408
